ProductCode;ProductName
68984;Zirconium, unwrought
28784;Zirconium ores & concentrates
28785;Niobium, tantalum/vanadium ores & concentrates
28785;Niobium, tantalum/vanadium ores & concentrates clear
68913;Tantalum, unwrought 
52222;Selenium, tellurium, phosphorus, arsenic & boron
52235;"Oxides of boron; boric acids"
68984;Zirconium, unwrought
28784;Zirconium ores & concentrates
28825;Zinc waste & scrap
52251;"Zinc oxide; zinc peroxide"
68611;Zinc, not alloyed
68982;Cadmium, unwrought
28911;Silver ores & concentrates
52511;Natural uranium & its compounds
52515;Uranium depleted in U 235 & its compounds
52513;Uranium enriched in U 235 & its compounds